id,name,category,type,address,hours,mainMenu,priceRange,avgPricePerPerson,description,verificationStatus,lastVerifiedDate,menuSourceUrl,hoursSourceUrl,priceSourceUrl,mapSourceUrl,notes,lat,lng,taste,value,portion,cleanliness,ratingCount,foodKeywords,moodKeywords,etcKeywords,recommendFor,image,kakaoPlaceUrl,sourceCheckedDate
store-080,명품참치한판,일식,restaurant,충남 공주시 전막3길 18-6,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.46987421327687,127.13138848122998,0,0,0,0,0,,,,,,http://place.map.kakao.com/2124495646,2026-05-29
store-081,모락로제떡볶이&닭강정 공주신관점,분식,restaurant,충남 공주시 번영1로 56,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4725786916311,127.134541799718,0,0,0,0,0,,,,,,http://place.map.kakao.com/901682176,2026-05-29
store-082,목구멍 공주점,고기,restaurant,충남 공주시 번영2로 75,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47308081729476,127.13676310012536,0,0,0,0,0,,,,,,http://place.map.kakao.com/1178411154,2026-05-29
store-083,목화밀면양꼬치 공주직영점,중식,restaurant,충남 공주시 번영1로 101-17,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47542915697738,127.13994733842645,0,0,0,0,0,,,,,,http://place.map.kakao.com/202487713,2026-05-29
store-084,무모한초밥 공주신관점,일식,restaurant,충남 공주시 흑수골길 26,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4732787442956,127.140153242363,0,0,0,0,0,,,,,,http://place.map.kakao.com/527000140,2026-05-29
store-085,무쇠통삼겹살,고기,restaurant,충남 공주시 번영2로 40-13,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4706281882574,127.13488654597,0,0,0,0,0,,,,,,http://place.map.kakao.com/925129178,2026-05-29
store-086,무조건회수산,한식,restaurant,충남 공주시 번영1로 7,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.469248422905665,127.13091769843619,0,0,0,0,0,,,,,,http://place.map.kakao.com/8978106,2026-05-29
store-087,믹스토랑 공주대점,양식,restaurant,충남 공주시 흑수골길 53,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.473490665773326,127.14306586466125,0,0,0,0,0,,,,,,http://place.map.kakao.com/1782665402,2026-05-29
store-088,민경이네낙지쭈꾸미 공주점,한식,restaurant,충남 공주시 번영1로 72-8,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.472969268119115,127.13580332160645,0,0,0,0,0,,,,,,http://place.map.kakao.com/339235879,2026-05-29
store-089,바다향굴&복어 공주본점,한식,restaurant,충남 공주시 번영1로 157-7,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4750538882467,127.144802727375,0,0,0,0,0,,,,,,http://place.map.kakao.com/2100069343,2026-05-29
store-090,바보아저씨,돈까스,restaurant,충남 공주시 번영1로 54,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4723987411652,127.134291552758,0,0,0,0,0,,,,,,http://place.map.kakao.com/21291504,2026-05-29
